Rank,Previous Rank,First Appearance,First Rank,Name,Computer,Site,Manufacturer,Country,Year,Segment,Total Cores,Accelerator/Co-Processor Cores,Rmax [TFlop/s],Rpeak [TFlop/s],Nmax,Nhalf,HPCG [TFlop/s],Power (kW),Power Source,Energy Efficiency [GFlops/Watts],Memory,Architecture,Processor,Processor Technology,Processor Speed (MHz),Operating System,OS Family,Accelerator/Co-Processor,Cores per Socket,Processor Generation,System Model,System Family,Interconnect Family,Interconnect,Continent,Site ID,System ID
251,215,63,181,Joule 3.0,"Gigabyte R283/R183/G593, AMD EPYC 9534 64C 2.45GHz, Infiniband",DOE/National Energy Technology Laboratory,Koi Computers,United States,2024,Research,"107,648",,"4,855.90","6,107.13","6,128,640",,59.80,,,,,Cluster,AMD EPYC 9534 64C 2.45GHz,AMD Zen-4 (Genoa),"2,450",Linux,Linux,None,64,AMD Zen-4 (Genoa),Gigabyte R283/R183/G593,KOI Cluster,Infiniband,Infiniband,North America,"50,452",180241
252,216,52,35,Eagle,"HPE SGI 8600, Xeon Gold 6154 18C 3GHz, EDR Infiniband/ 8D Hypercube",National Renewable Energy Laboratory,HPE,United States,2018,Research,"75,600",,"4,850.66","7,257.60","4,652,160",,,,,,,Cluster,Xeon Gold 6154 18C 3GHz,Intel Skylake,"3,000",CentOS,Linux,None,18,Xeon Gold (Skylake),HPE SGI 8600,HPE SGI 8600,Infiniband,EDR Infiniband/ 8D Hypercube,North America,"48,481",179598
253,217,48,21,Cheyenne,"SGI ICE XA, Xeon E5-2697v4 18C 2.3GHz, Infiniband EDR",National Center for Atmospheric Research (NCAR),HPE,United States,2016,Research,"144,900",,"4,788.19","5,332.32","5,171,520",,87.28,"1,727.00",Submitted,2.77,,Cluster,Xeon E5-2697v4 18C 2.3GHz,Intel Broadwell,"2,300",SUSE Linux Enterprise Server 12 SP1,Linux,None,18,Intel Xeon E5 (Broadwell),SGI ICE XA,SGI ICE,Infiniband,Infiniband EDR,North America,"48,418",178965
254,218,55,55,Betzy,"Bull Sequana XH2000 , AMD EPYC 7742 64C 2.25GHz, Mellanox HDR Infiniband",UNINETT Sigma2 AS,EVIDEN,Norway,2020,Academic,"172,032",,"4,724.79","6,193.15","5,054,016",,,,,,,Cluster,AMD EPYC 7742 64C 2.25GHz,AMD Zen-2 (Rome),"2,250",RHEL 7.7,Linux,None,64,AMD Zen-2 (Rome),BullSequana XH2000,BullSequana,Infiniband,Mellanox HDR Infiniband,Europe,"50,713",179861
255,,65,255,Otus (GPU only),"ThinkSystem SD665-N V3, AMD EPYC 9655 96C 2.6GHz, NVIDIA H100 SXM5 80GB, Infiniband NDR, Rocky Linux 9.4",Universitaet Paderborn - PC2,Lenovo,Germany,2025,Academic,"19,440","14,256","4,659.00","7,451.65","1,113,088",,,,,,,Cluster,AMD EPYC 9655 96C 2.6GHz,AMD Zen-5 (Turin),"2,600",Rocky Linux 9.4,Linux,NVIDIA H100 SXM5 80GB,96,AMD Zen-5 (Turin),ThinkSystem SD665-N V3,Lenovo ThinkSystem,Infiniband,Infiniband NDR,Europe,"49,104",180359
256,219,61,130,Derecho GPU partition,"HPE Cray EX 235n, AMD EPYC 7763 64C 2.45GHz, NVIDIA A100 SXM4 40 GB, Slingshot-11",National Center for Atmospheric Research (NCAR),HPE,United States,2023,Research,"39,680","34,560","4,582.00","5,044.54","1,253,376",,,169.03,Submitted,27.11,,MPP,AMD EPYC 7763 64C 2.45GHz,AMD Zen-3 (Milan),"2,450",HPE Cray OS,Linux,NVIDIA A100 SXM4 40 GB,64,AMD Zen-3 (Milan),HPE Cray EX 235n,HPE Cray EX,Gigabit Ethernet,Slingshot-11,North America,"48,418",180165
257,220,59,135,Tioga,"HPE Cray EX235a, AMD Optimized 3rd Generation EPYC 64C 2GHz, AMD Instinct MI250X, Slingshot-11",DOE/NNSA/LLNL,HPE,United States,2022,Research,"30,208","28,160","4,548.21","5,825.54",,,,,,,,MPP,AMD Optimized 3rd Generation EPYC 64C 2GHz,AMD Zen-3 (Milan),"2,000",TOSS 4 Linux,Linux,AMD Instinct MI250X,64,AMD Zen-3 (Milan),HPE Cray EX235a,HPE Cray EX,Gigabit Ethernet,Slingshot-11,North America,"49,763",180052
258,221,57,91,Discoverer,"BullSequana XH2000, AMD EPYC 7H12 64C 2.6GHz, Infiniband HDR",Consortium Petascale Supercomputer Bulgaria,EVIDEN,Bulgaria,2021,Academic,"144,384",,"4,518.87","5,942.00","5,824,896",,54.26,,,,,Cluster,AMD EPYC 7H12 64C 2.6GHz,AMD Zen-2 (Rome),"2,600",Linux,Linux,None,64,AMD Zen-2 (Rome),BullSequana XH2000,BullSequana,Infiniband,Infiniband HDR,Europe,"50,867",179948
259,222,63,189,JEDI,"BullSequana XH3000, Grace Hopper Superchip 72C 3GHz, NVIDIA GH200 Superchip, Quad-Rail NVIDIA InfiniBand NDR200",EuroHPC/FZJ,ParTec/EVIDEN,Germany,2024,Research,"19,584","12,672","4,504.00","5,131.78","1,388,544",,60.50,67.31,Submitted,66.91,,Cluster,GH Superchip 72C 3GHz,NVIDIA Grace CPU,"3,000",RedHat Linux and Modular Operating System,Linux,NVIDIA GH200 Superchip,72,NVIDIA Grace,BullSequana XH3000,EVIDEN BullSequana,Infiniband,Quad-Rail NVIDIA InfiniBand NDR200,Europe,"51,016",180269
260,223,53,42,Jean Zay,"HPE SGI 8600, Xeon Gold 6248 20C 2.5GHz, NVIDIA Tesla V100 SXM2, Intel Omni-Path",CNRS/IDRIS-GENCI,HPE,France,2019,Academic,"93,960","83,520","4,478.00","7,345.56","1,999,871",,120.27,,,,,Cluster,Xeon Gold 6248 20C 2.5GHz,Intel Cascade lake,"2,500",RHEL 6.8,Linux,NVIDIA Tesla V100 SXM2,20,Xeon Gold 62xx (Cascade Lake),HPE SGI 8600,HPE SGI 8600,Omnipath,Intel Omni-Path,Europe,"50,403",179692
261,,65,261,Space HPC,"HPE Cray XD670/XD665, EPYC 9454 / Xeon 8480L, NVIDIA H100 SXM5 80GB, Infiniband NDR200, RHEL 8.10",European Space Agency (ESRIN),HPE,Italy,2025,Research,"16,368","14,256","4,468.00","5,422.50","1,047,552",,,105.97,Submitted,42.16,,Cluster,AMD EPYC 9454 48C 2.75GHz,AMD Zen-4 (Genoa),"2,750",RHEL 8.10,Linux,Nvidia H100 SXM5 94Gb,48,AMD Zen-4 (Genoa),HPE Cray XD670,HPE Cray XD,Infiniband,Infiniband NDR200,Europe,"51,080",180365
262,224,57,93,Wisteria/BDEC-01 (Aquarius),"PRIMERGY GX2570 M6, Xeon Platinum 8360Y 36C 2.4GHz, NVIDIA A100 SXM4 40 GB, Infiniband HDR","Information Technology Center, The University of Tokyo",Fujitsu,Japan,2021,Academic,"42,120","38,880","4,425.00","7,268.83","1,347,016",,84.71,183.93,Submitted,24.06,,Cluster,Xeon Platinum 8360Y 36C 2.4GHz,Intel Ice Lake,"2,400",Linux,Linux,NVIDIA A100 SXM4 40 GB,36,Xeon Platinum 83xx (Ice Lake),PRIMERGY GX2570 M6,Fujitsu PRIMERGY,Infiniband,Infiniband HDR,Asia,"50,096",179963
263,225,64,225,Unaizah-4,"PowerEdge XE8640, Intel Xeon Platinum 8462Y+ 32C 2.8GHz, NVIDIA HGX H100, Infiniband HDR, RHEL",Saudi Aramco,DELL,Saudi Arabia,2024,Industry,"23,680","21,120","4,424.00","10,949.38","1,179,648","1,179,648",,,,,,Cluster,Xeon Platinum 8462Y+ 32C 2.8GHz,Intel Sapphire Rapids,"2,800",RHEL,Linux,NVIDIA HGX H100,32,Xeon Platinum (Sapphire Rapids),PowerEdge XE8640,Dell PowerEdge Cluster,Infiniband,Infiniband HDR,Asia,"48,751",180333
264,,65,264,Grand Chariot 2,"PRIMERGY GX2560 M7, Xeon Gold 6548Y+ 32C 2.5GHz, NVIDIA H100, Infiniband NDR, Rocky Linux 9.4","Information Initiative Center, Hokkaido University",Fujitsu,Japan,2025,Academic,"14,208","12,672","4,381.00","6,546.05","1,022,976",,,,,,,Cluster,Xeon Gold 6548Y+ 32C 2.5GHz,Intel Emerald Rapids,"2,500",Rocky Linux 9.4,Linux,NVIDIA H100,32,Xeon Gold 65xx (Emerald Rapids),PRIMERGY GX2560 M7,Fujitsu PRIMERGY,Infiniband,Infiniband NDR,Asia,"50,367",180385
265,226,55,56,Atlas,"Bull 4029GP-TVRT, Xeon Gold 6240 18C 2.6GHz, NVIDIA Tesla V100, Infiniband EDR",Petróleo Brasileiro S.A,EVIDEN,Brazil,2020,Industry,"91,936","87,040","4,376.00","8,848.49","2,081,280",,,546.58,Submitted,8.01,,Cluster,Xeon Gold 6240 18C 2.6GHz,Intel Cascade lake,"2,600",CentOS,Linux,NVIDIA Tesla V100,18,Xeon Gold 62xx (Cascade Lake),Bull 4029GP-TVRT,Bull Cluster,Infiniband,Infiniband EDR,South America,"49,587",179854
266,227,64,227,ARF ACC,"ThinkSystem SD650-N V3, Xeon Gold 6548Y+ 32C 2.5GHz, NVIDIA H100 80GB HBM3, Infiniband NDR200, Rocky Linux 9.4",TRUBA,Lenovo,Turkey,2024,Government,"14,208","12,672","4,363.00","6,545.28","1,021,952",,49.35,83.03,Submitted,52.55,,Cluster,Xeon Gold 6548Y+ 32C 2.5GHz,Intel Emerald Rapids,"2,500",Rocky Linux 9.4,Linux,NVIDIA H100 80GB HBM3,32,Xeon Gold 65xx (Emerald Rapids),ThinkSystem SD650-N V3,Lenovo ThinkSystem,Infiniband,Infiniband NDR200,Asia,"51,003",180350
267,228,61,190,Pegasus,"NEC LX 102Bk-6, Xeon Platinum 8468 48C 2.1GHz, NVIDIA H100 PCIe 80GB, Infiniband NDR200, Ubuntu 22.04","Center for Computational Sciences, University of Tsukuba",NEC,Japan,2023,Academic,"27,000","19,800","4,342.00","8,133.84","1,209,600",,,130.41,Submitted,33.29,,Cluster,Xeon Platinum 8468 48C 2.1GHz,Intel Sapphire Rapids,"2,100",Ubuntu 22.04,Linux,NVIDIA H100 PCIe 80GB,48,Xeon Platinum (Sapphire Rapids),NEC LX 102Bk-6,NEC Cluster,Infiniband,Infiniband NDR200,Asia,"47,529",180170
268,229,52,38,Advanced Computing System(PreE),"Sugon TC8600, Hygon Dhyana  32C 2GHz, Deep Computing Processor, 200Gb 6D-Torus",Sugon,Sugon,China,2018,Vendor,"163,840","131,072","4,325.00","6,134.17","1,876,000",,,380.00,Submitted,11.38,,Cluster,Hygon Dhyana 32C 2GHz,X86_64,"2,000",CentOS,Linux,Deep Computing Processor,32,Hygon Dhyana,Sugon TC8600,Sugon Cluster,Gigabit Ethernet,200Gb 6D-Torus,Asia,"50,797",179593
269,230,56,67,CRONOS,"BullSequana X, Xeon Platinum 8260 24C 2.4GHz, Infiniband HDR",EDF,EVIDEN,France,2020,Industry,"81,600",,"4,299.33","7,136.87","6,317,568",,,"1,225.53",Submitted,3.51,,Cluster,Xeon Platinum 8260 24C 2.4GHz,Intel Cascade lake,"2,400",Linux,Linux,None,24,Xeon Platinum 82xx (Cascade Lake),BullSequana X,BullSequana,Infiniband,Infiniband HDR,Europe,"50,679",179899
270,231,56,69,SNL/NNSA CTS-1 Manzano,"Tundra Extreme Scale, Xeon Platinum 8268 24C 2.9GHz, Intel Omni-Path",Sandia National Laboratories,Penguin Computing,United States,2020,Research,"71,424",,"4,281.00","6,628.15","5,491,968","5,184,000",40.29,960.00,Submitted,4.46,,Cluster,Xeon Platinum 8268 24C 2.9GHz,Intel Cascade lake,"2,900",Linux/TOSS,Linux,None,24,Xeon Platinum 82xx (Cascade Lake),Tundra Extreme Scale,Penguin Computing Cluster,Omnipath,Intel Omni-Path,North America,"48,748",179907
271,,65,271,Olivia (CPU),"HPE Cray EX, AMD EPYC 9745 128C 2.4GHz, Slingshot-11, HPE Cray OS",Sigma2,HPE,Norway,2025,Academic,"64,512",,"4,250.40","4,954.52","4,495,872",,,,,,,MPP,AMD EPYC 9745 128C 2.4GHz,AMD Zen-5 (Turin),"2,400",HPE Cray OS,Linux,None,128,AMD Zen-5 (Turin),HPE Cray EX,HPE Cray EX,Gigabit Ethernet,Slingshot-11,Europe,"51,077",180372
272,232,61,142,NA7A,"Lenovo ThinkSystem SR665 V2, AMD EPYC 7763 64C 2.45GHz, 100G Ethernet",Software Company,Lenovo,United States,2023,Industry,"207,872",,"4,229.11","8,148.58","9,118,400",,,,,,,Cluster,AMD EPYC 7763 64C 2.45GHz,AMD Zen-3 (Milan),"2,450",Linux,Linux,None,64,AMD Zen-3 (Milan),ThinkSystem SR665 V2,Lenovo ThinkSystem,Gigabit Ethernet,100G Ethernet,North America,"50,969",180147
273,233,61,143,NA7,"Lenovo ThinkSystem SR665 V2, AMD EPYC 7763 64C 2.45GHz, 100G Ethernet",Software Company,Lenovo,United States,2023,Industry,"207,872",,"4,229.11","8,148.58","9,118,400",,,,,,,Cluster,AMD EPYC 7763 64C 2.45GHz,AMD Zen-3 (Milan),"2,450",Linux,Linux,None,64,AMD Zen-3 (Milan),ThinkSystem SR665 V2,Lenovo ThinkSystem,Gigabit Ethernet,100G Ethernet,North America,"50,969",180150
274,234,61,144,NA2C,"Lenovo ThinkSystem SR650 V2, Xeon Platinum 8358 32C 2.6GHz, 100G Ethernet",Software Company,Lenovo,United States,2022,Industry,"111,936",,"4,228.14","9,313.08","9,463,000",,,,,,,Cluster,Xeon Platinum 8358 32C 2.6GHz,Intel Ice Lake,"2,600",Linux,Linux,None,32,Xeon Platinum 83xx (Ice Lake),ThinkSystem SR650 V2,Lenovo ThinkSystem,Gigabit Ethernet,100G Ethernet,North America,"50,969",180154
275,235,61,145,NA2B,"Lenovo ThinkSystem SR650 V2, Xeon Platinum 8358 32C 2.6GHz, 100G Ethernet",Software Company,Lenovo,United States,2022,Industry,"111,936",,"4,228.14","9,313.08","9,463,000",,,,,,,Cluster,Xeon Platinum 8358 32C 2.6GHz,Intel Ice Lake,"2,600",Linux,Linux,None,32,Xeon Platinum 83xx (Ice Lake),ThinkSystem SR650 V2,Lenovo ThinkSystem,Gigabit Ethernet,100G Ethernet,North America,"50,969",180156
276,236,61,146,NA2,"Lenovo ThinkSystem SR650 V2, Xeon Platinum 8358 32C 2.6GHz, 100G Ethernet",Software Company,Lenovo,United States,2023,Industry,"111,936",,"4,228.14","9,313.08","9,463,000",,,,,,,Cluster,Xeon Platinum 8358 32C 2.6GHz,Intel Ice Lake,"2,600",Linux,Linux,None,32,Xeon Platinum 83xx (Ice Lake),ThinkSystem SR650 V2,Lenovo ThinkSystem,Gigabit Ethernet,100G Ethernet,North America,"50,969",180157
277,237,61,147,Berzelius2,"NVIDIA DGX A100, AMD EPYC 7742 64C 2.25GHz, NVIDIA A100 SXM4 80 GB, Octo-rail NVIDIA HDR-100 Infiniband",National Supercomputer Centre (NSC),EVIDEN,Sweden,2023,Academic,"33,728","29,376","4,214.00","5,139.45","1,507,328",,,,,,,Cluster,AMD EPYC 7742 64C 2.25GHz,AMD Zen-2 (Rome),"2,250",RedHat Enterprise Linux,Linux,NVIDIA A100 SXM4 80 GB,64,AMD Zen-2 (Rome),NVIDIA DGX A100,NVIDIA DGX,Infiniband,Octo-rail NVIDIA HDR100 Infiniband,Europe,"48,488",180132
278,238,59,121,Noctua 2,"BullSequana XH2000, AMD EPYC 7763 64C 2.45GHz, InfiniBand HDR100",Universitaet Paderborn - PC2,EVIDEN,Germany,2022,Academic,"135,168",,"4,190.90","5,298.59","5,241,600",,,868.74,Submitted,4.82,,Cluster,AMD EPYC 7763 64C 2.45GHz,AMD Zen-3 (Milan),"2,450",Linux,Linux,None,64,AMD Zen-3 (Milan),BullSequana XH2000,BullSequana,Infiniband,InfiniBand HDR100,Europe,"49,104",180071
279,239,61,149,NA6B,"Lenovo ThinkSystem SR650 V2, Xeon Platinum 8358 32C 2.6GHz, 100G Ethernet",Software Company,Lenovo,United States,2023,Industry,"111,744",,"4,155.80","9,297.10","9,454,800",,,,,,,Cluster,Xeon Platinum 8358 32C 2.6GHz,Intel Ice Lake,"2,600",Linux,Linux,None,32,Xeon Platinum 83xx (Ice Lake),ThinkSystem SR650 V2,Lenovo ThinkSystem,Gigabit Ethernet,100G Ethernet,North America,"50,969",180148
280,240,61,150,NA6A,"Lenovo ThinkSystem SR650 V2, Xeon Platinum 8358 32C 2.6GHz, 100G Ethernet",Software Company,Lenovo,United States,2023,Industry,"111,744",,"4,155.80","9,297.10","9,454,800",,,,,,,Cluster,Xeon Platinum 8358 32C 2.6GHz,Intel Ice Lake,"2,600",Linux,Linux,None,32,Xeon Platinum 83xx (Ice Lake),ThinkSystem SR650 V2,Lenovo ThinkSystem,Gigabit Ethernet,100G Ethernet,North America,"50,969",180149
281,241,61,151,NA6,"Lenovo ThinkSystem SR650 V2, Xeon Platinum 8358 32C 2.6GHz, 100G Ethernet",Software Company,Lenovo,United States,2023,Industry,"111,744",,"4,155.80","9,297.10","9,454,800",,,,,,,Cluster,Xeon Platinum 8358 32C 2.6GHz,Intel Ice Lake,"2,600",Linux,Linux,None,32,Xeon Platinum 83xx (Ice Lake),ThinkSystem SR650 V2,Lenovo ThinkSystem,Gigabit Ethernet,100G Ethernet,North America,"50,969",180151
282,242,53,46,,"Apollo 6500 XL270d Gen10, Xeon Gold 6140 18C 2.3GHz, Mellanox InfiniBand EDR, NVIDIA Tesla V100 SXM2",Research Institute,HPE,Japan,2019,Research,"70,416","66,560","4,128.00","5,783.81","1,843,200",,94.29,,,,,Cluster,Xeon Gold 6140 18C 2.3GHz,Intel Skylake,"2,300",CentOS,Linux,NVIDIA Tesla V100 SXM2,18,Xeon Gold (Skylake),Apollo 6500 XL270d Gen10,HPE Apollo,Infiniband,Mellanox InfiniBand EDR,Asia,"50,810",179698
283,243,64,243,Alpha,"ThinkSystem SR680a V3, Intel Xeon Platinum 9242 48C 2.3GHz, NVIDIA H100, Infiniband NDR, Linux",Flatiron Institute - Simons Foundation,Lenovo,United States,2024,Academic,"7,488","6,336","4,099.00","4,987.70","964,608",,,,,,,Cluster,Intel Xeon Platinum 9242 48C 2.3GHz,Intel Cascade lake,"2,300",Linux,Linux,NVIDIA H100,48,Xeon Platinum 92xx (Cascade Lake),ThinkSystem SR680a V3,Lenovo ThinkSystem,Infiniband,Infiniband NDR,North America,"51,060",180346
284,244,64,244,Raphael,"ThinkSystem SD665-N V3, AMD EPYC 9454 48C 2.75GHz, NVIDIA H100 80GB, Infiniband HDR, Linux",Flatiron Institute - Simons Foundation,Lenovo,United States,2024,Academic,"14,976","12,672","4,090.00","5,004.29","1,024,000",,,89.71,Submitted,45.59,,Cluster,AMD EPYC 9454 48C 2.75GHz,AMD Zen-4 (Genoa),"2,750",Linux,Linux,NVIDIA H100 80GB,48,AMD Zen-4 (Genoa),ThinkSystem SD665-N V3,Lenovo ThinkSystem,Infiniband,Infiniband HDR,North America,"51,060",180300
285,245,51,34,JOLIOT-CURIE SKL,"Bull Sequana X1000, Xeon Platinum 8168 24C 2.7GHz, Mellanox EDR",CEA/TGCC-GENCI,EVIDEN,France,2017,Research,"79,488",,"4,065.55","6,635.52","5,861,568",,52.68,917.00,Submitted,4.43,,Cluster,Xeon Platinum 8168 24C 2.7GHz,Intel Skylake,"2,700",bullx SCS,Linux,None,24,Xeon Platinum (Skylake),BullSequana X1000,BullSequana,Infiniband,Mellanox InfiniBand EDR,Europe,"50,414",179411
286,246,63,208,NA12A,"Lenovo ThinkSystem SR665 V2, AMD EPYC 7763 64C 2.45GHz, 100G Ethernet",Software Company,Lenovo,United States,2023,Industry,"187,648",,"4,052.16","7,355.80","9,118,400",,,,,,,Cluster,AMD EPYC 7763 64C 2.45GHz,AMD Zen-3 (Milan),"2,450",Linux,Linux,None,64,AMD Zen-3 (Milan),ThinkSystem SR665 V2,Lenovo ThinkSystem,Gigabit Ethernet,100G Ethernet,North America,"50,969",180251
287,247,63,209,NA12,"Lenovo ThinkSystem SR665 V2, AMD EPYC 7763 64C 2.45GHz, 100G Ethernet",Software Company,Lenovo,United States,2023,Industry,"187,648",,"4,052.16","7,355.80","9,118,400",,,,,,,Cluster,AMD EPYC 7763 64C 2.45GHz,AMD Zen-3 (Milan),"2,450",Linux,Linux,None,64,AMD Zen-3 (Milan),ThinkSystem SR665 V2,Lenovo ThinkSystem,Gigabit Ethernet,100G Ethernet,North America,"50,969",180252
288,248,45,13,Abel,"Cray XC30, Xeon E5-2698v3 16C 2.3GHz, Aries interconnect",Petroleum Geo-Services,HPE,United States,2015,Industry,"145,920",,"4,042.46","5,369.86","8,338,176",,,"1,800.00",Submitted,2.25,,MPP,Xeon E5-2698v3 16C 2.3GHz,Intel Haswell,"2,300",Cray Linux Environment,Linux,None,16,Intel Xeon E5 (Haswell),Cray XC30,Cray XC,Custom Interconnect,Aries interconnect,North America,"48,602",178556
289,249,58,115,Warhawk,"HPE Cray EX, AMD EPYC 7H12 64C 2.6GHz, Slingshot-10",Air Force Research Laboratory,HPE,United States,2021,Government,"129,920",,"4,033.50","5,404.67","7,470,320",,,,,,,MPP,AMD EPYC 7H12 64C 2.6GHz,AMD Zen-2 (Rome),"2,600",SLES15 SP2,Linux,None,64,AMD Zen-2 (Rome),HPE Cray EX,HPE Cray EX,Gigabit Ethernet,Slingshot-10,North America,"49,284",180012
290,250,59,184,Alex,"MEGWARE NF5488A5, AMD EPYC 7713 64C 2GHz, NVIDIA A100 SXM4 80 GB, Infiniband HDR",Universitaet Erlangen - Regionales Rechenzentrum Erlangen,MEGWARE,Germany,2021,Academic,"37,696","32,832","4,030.00","6,083.65","1,225,728",,83.46,178.97,Submitted,22.52,,Cluster,AMD EPYC 7713 64C 2GHz,AMD Zen-3 (Milan),"2,000",AlmaLinux 8.5,Linux,NVIDIA A100 SXM4 40 GB,64,AMD Zen-3 (Milan),MEGWARE NF5488A5,MEGWARE Cluster,Infiniband,Infiniband HDR,Europe,"49,515",180075
291,251,63,213,Raider,"Penguin Altus XO1232g, AMD EPYC 7713 64C 2GHz, Infiniband HDR",Air Force Research Laboratory,Penguin Computing,United States,2022,Government,"206,304","15,840","4,015.56","8,664.78","4,608,000","844,802",,,,,,Cluster,AMD EPYC 7713 64C 2GHz,AMD Zen-3 (Milan),"2,000",RHEL 8,Linux,NVIDIA A40,64,AMD Zen-3 (Milan),Altus XO1214GT,Penguin Computing Cluster,Infiniband,Infiniband HDR,North America,"49,284",180289
292,252,48,29,DGX Saturn V,"NVIDIA DGX-1 Volta36, Xeon E5-2698v4 20C 2.2GHz, NVIDIA Tesla V100, Infiniband EDR",NVIDIA Corporation,Nvidia,United States,2018,Vendor,"87,040","81,920","3,998.00","7,414.78","1,925,376",,113.54,,,,,Cluster,Xeon E5-2698v4 20C 2.2GHz,Intel Broadwell,"2,200",Ubuntu,Linux,NVIDIA Tesla V100,20,Intel Xeon E5 (Broadwell),NVIDIA DGX-1 Volta36,NVIDIA DGX,Infiniband,Infiniband EDR,North America,"48,448",178928
293,253,61,159,NA9B,"Lenovo ThinkSystem SR665 V2, AMD EPYC 7763 64C 2.45GHz, 100G Ethernet",Software Company,Lenovo,United States,2023,Industry,"200,448",,"3,960.21","7,857.56","9,839,200",,,,,,,Cluster,AMD EPYC 7763 64C 2.45GHz,AMD Zen-3 (Milan),"2,450",Linux,Linux,None,64,AMD Zen-3 (Milan),ThinkSystem SR665 V2,Lenovo ThinkSystem,Gigabit Ethernet,100G Ethernet,North America,"50,969",180142
294,254,61,160,NA9A,"Lenovo ThinkSystem SR665 V2, AMD EPYC 7763 64C 2.45GHz, 100G Ethernet",Software Company,Lenovo,United States,2023,Industry,"200,448",,"3,960.21","7,857.56","9,839,200",,,,,,,Cluster,AMD EPYC 7763 64C 2.45GHz,AMD Zen-3 (Milan),"2,450",Linux,Linux,None,64,AMD Zen-3 (Milan),ThinkSystem SR665 V2,Lenovo ThinkSystem,Gigabit Ethernet,100G Ethernet,North America,"50,969",180143
295,255,61,161,NA9,"Lenovo ThinkSystem SR665 V2, AMD EPYC 7763 64C 2.45GHz, 100G Ethernet",Software Company,Lenovo,United States,2023,Industry,"200,448",,"3,960.21","7,857.56","9,839,200",,,,,,,Cluster,AMD EPYC 7763 64C 2.45GHz,AMD Zen-3 (Milan),"2,450",Linux,Linux,None,64,AMD Zen-3 (Milan),ThinkSystem SR665 V2,Lenovo ThinkSystem,Gigabit Ethernet,100G Ethernet,North America,"50,969",180144
296,256,63,218,NA9Z,"Lenovo ThinkSystem SR665 V2, AMD EPYC 7763 64C 2.45GHz, 100G Ethernet",Software Company,Lenovo,United States,2023,Industry,"200,448",,"3,960.21","7,857.56","9,839,200",,,,,,,Cluster,AMD EPYC 7763 64C 2.45GHz,AMD Zen-3 (Milan),"2,450",Linux,Linux,None,64,AMD Zen-3 (Milan),ThinkSystem SR665 V2,Lenovo ThinkSystem,Gigabit Ethernet,100G Ethernet,North America,"50,969",180248
297,257,63,219,Deucalion,"PRIMEHPC FX700, Fujitsu A64FX 48C 2GHz, InfiniBand HDR100",FCT,Fujitsu,Portugal,2023,Research,"78,336",,"3,955.50","5,013.50","1,981,440",,,365.21,Submitted,10.83,,Cluster,Fujitsu A64FX 48C 2GHz,Fujitsu ARM,"2,000",Rocky Linux 8.5,Linux,None,48,Fujitsu A64FX,PRIMEHPC FX700,Fujitsu PRIMEHPC,Infiniband,InfiniBand HDR100,Europe,"51,015",180275
298,258,43,21,,"Cray XC40, Xeon E5-2695v4 18C 2.1GHz, Aries interconnect",ECMWF,HPE,United Kingdom,2016,Research,"126,468",,"3,944.68","4,249.33","7,171,008",,65.46,"1,897.02",Submitted,2.08,,MPP,Xeon E5-2695v4 18C 2.1GHz,Intel Broadwell,"2,100",Cray Linux Environment,Linux,None,18,Intel Xeon E5 (Broadwell),Cray XC40,Cray XC,Custom Interconnect,Aries interconnect,Europe,"47,752",178431
299,259,47,19,,"Cray XC40, Xeon E5-2695v4 18C 2.1GHz, Aries interconnect",ECMWF,HPE,United Kingdom,2016,Research,"126,468",,"3,944.68","4,249.33","7,171,008",,65.46,"1,897.02",Submitted,2.08,,MPP,Xeon E5-2695v4 18C 2.1GHz,Intel Broadwell,"2,100",Cray Linux Environment,Linux,None,18,Intel Xeon E5 (Broadwell),Cray XC40,Cray XC,Custom Interconnect,Aries interconnect,Europe,"47,752",178749
300,260,61,164,NA1,"Lenovo ThinkSystem SR665 V2, AMD EPYC 7763 64C 2.45GHz, 100G Ethernet",Software Company,Lenovo,United States,2023,Industry,"191,232",,"3,920.56","7,496.29","8,746,000",,,,,,,Cluster,AMD EPYC 7763 64C 2.45GHz,AMD Zen-3 (Milan),"2,450",Linux,Linux,None,64,AMD Zen-3 (Milan),ThinkSystem SR665 V2,Lenovo ThinkSystem,Gigabit Ethernet,100G Ethernet,North America,"50,969",180158
301,261,62,194,Nautilus,"Penguin Altus XE2214GTS, AMD EPYC 7713 64C 2GHz, NVIDIA A100, Infiniband HDR200",Navy DSRC,Penguin Computing,United States,2022,Government,"191,680","15,552","3,897.50","8,155.00","4,423,680",,,,,,,Cluster,AMD EPYC 7713 64C 2GHz,AMD Zen-3 (Milan),"2,000",RHEL 8.7,Linux,NVIDIA A100,64,AMD Zen-3 (Milan),Penguin Altus XE2214GTS,Penguin Computing Cluster,Infiniband,Infiniband HDR200,North America,"50,425",180223
